id,year,african_american,asian,hispanic,white,native,male,female
1580015,2017,2.1,8.8,2.8,83.2,0,48.1,51.9
1590005,2017,1.2,18.5,3.3,72.1,0,50.5,49.5
1590010,2017,1.7,5.2,5.2,83.7,0,51.7,48.3
1590017,2017,4.2,9.9,5.1,77.2,0.3,52.7,47.3
1590305,2017,0.6,5.8,4.1,86.3,0.3,55.2,44.8
1590025,2017,2.8,11.4,7.5,72.3,0,52.6,47.4
1600020,2017,4.8,48.2,29.9,12.2,0.2,54.8,45.2
1600310,2017,7.7,26.2,28.4,33.2,0,48.6,51.4
1600090,2017,9.4,36.8,33.8,15.5,0.2,50.9,49.1
1600030,2017,3.6,59.7,12.3,19.7,0.4,53,47
1600080,2017,4.2,48,32.3,9.7,0.2,54,46
1600345,2017,7.5,16.4,42,31.1,0,51.4,48.6
1600002,2017,4.4,34.3,21.6,34.5,0.2,57.4,42.6
1600015,2017,10.2,14.2,40.1,31.3,0,51.3,48.7
1600330,2017,11.7,19.4,41.3,24.4,0,52.9,47.1
1600315,2017,3.9,43.2,18.2,29.5,0,51.4,48.6
1600340,2017,9.1,12.7,38.7,36.7,0,51.3,48.7
1600050,2017,4.3,29.5,36,25.8,0.2,51.4,48.6
1600010,2017,5.6,14.1,54.4,22.2,0,52.8,47.2
1600360,2017,4.3,53.8,29.1,10,0,52.5,47.5
1600085,2017,16.7,0,38.9,33.3,0,100,0
1600027,2017,3.6,16.5,38.2,34.9,0,49,51
1600036,2017,6.5,21.6,26.9,40.6,0,55,45
1600040,2017,4.4,7.8,37.7,46.4,0,48.5,51.5
1600018,2017,6,13.1,32.3,44.8,0,53.6,46.4
1600005,2017,9.4,23.9,37.9,24.7,0,53,47
1600075,2017,5.3,11.6,44.3,35.6,0,48.4,51.6
1600055,2017,5,47.7,21.7,18.6,0,55.8,44.2
4560050,2017,27.5,20.1,45.9,3.2,0,48.8,51.2
1610020,2017,0.9,0.3,12.1,83.2,0.9,46,54
1610305,2017,1.9,0.6,6.4,88.5,0.3,48.5,51.5
1610023,2017,3,0,7.9,85.5,0.5,56.3,43.7
1620305,2017,1.5,1,7.7,87.4,0.8,56.4,43.6
1620025,2017,1,1.3,7.3,86.5,0.8,50.8,49.3
1630016,2017,8.1,16.5,65.1,5.8,0.4,49.4,50.6
1630011,2017,15.8,5.4,33.6,36.3,0.8,47.9,52.1
1630405,2017,9.9,11,60.1,15,0.5,52.3,47.7
1630020,2017,10.6,12.1,55,16.3,0.4,51.1,48.9
1630090,2017,14.1,6.4,24.4,45.5,0,61.5,38.5
1630035,2017,10,6.9,76.9,4.2,0,50.7,49.3
1630045,2017,9.3,6.9,72.6,9,0,52.6,47.4
1630095,2017,6.6,10.5,40.5,36.4,0.9,53.5,46.5
1630525,2017,5.2,1.6,79.5,11.4,0.3,62,38
1630055,2017,8.8,7.8,63.6,17.3,0,50.1,49.9
1630060,2017,10.6,10.3,67,8.5,0.1,49.9,50.1
1630030,2017,16.9,8.4,46,21.7,0,54.4,45.6
1630070,2017,6.5,10.1,55.2,20.6,0,50,50
1630075,2017,1.2,2.5,17.8,65.6,1.8,49.1,50.9
1630420,2017,7,9.7,37.5,40,0.8,52.4,47.6
1630050,2017,6.9,7.5,77.4,5.7,0.2,51.2,48.8
1630085,2017,8.7,4.9,49,33.9,0,57.3,42.7
1630305,2017,9.5,8.6,66.9,11.4,0.5,52.3,47.7
