school_id,year,first_lang_not_eng_num,first_lang_not_eng_per,ELL_num,ELL_per,disabilities_num,disabilities_per,low_inc_num,low_inc_per
1970005,2017,255,35.6,155,21.6,75,10.5,144,20.1
1970505,2017,117,21.7,63,11.7,91,16.9,93,17.3
7200005,2017,0,0,0,0,41,14.8,72,26
7200305,2017,1,0.2,0,0,73,17.3,112,26.6
7200505,2017,3,0.8,0,0,52,14,75,20.2
7200003,2017,0,0,0,0,45,27.6,54,33.1
7200020,2017,0,0,0,0,22,13.9,40,25.3
7250020,2017,37,6.1,16,2.6,85,14,31,5.1
7250025,2017,17,2.2,7,0.9,108,14,40,5.2
7250310,2017,10,3.5,4,1.4,35,12.2,11,3.8
7250305,2017,11,4.5,3,1.2,50,20.2,20,8.1
7250010,2017,10,2.1,9,1.9,97,20,92,19
7250505,2017,22,2.2,5,0.5,133,13.2,51,5
8520605,2017,8,1.1,0,0,250,34.2,143,19.5
1980005,2017,51,8.2,8,1.3,90,14.4,56,9
1980010,2017,138,26.8,58,11.3,43,8.3,60,11.7
1980305,2017,70,10.8,20,3.1,77,11.9,52,8
1980031,2017,8,3.6,0,0,23,10.4,23,10.4
1980035,2017,33,7.9,2,0.5,33,7.9,43,10.3
1980043,2017,38,8.8,0,0,41,9.4,28,6.5
1980505,2017,114,6.9,22,1.3,262,15.7,172,10.3
1980310,2017,42,4.4,2,0.2,173,18.3,101,10.7
6600505,2017,36,3.9,12,1.3,116,12.5,166,17.9
6600305,2017,8,1.5,3,0.6,103,19.3,116,21.7
1990005,2017,42,7.6,18,3.3,59,10.7,23,4.2
1990410,2017,41,9.7,4,1,72,17.1,22,5.2
1990035,2017,63,13.3,25,5.3,56,11.9,23,4.9
1990020,2017,58,14.8,31,7.9,63,16.1,37,9.4
1990505,2017,133,8,8,0.5,258,15.6,92,5.5
1990050,2017,72,10,36,5,131,18.2,49,6.8
1990405,2017,80,9.1,8,0.9,162,18.5,46,5.3
1990040,2017,29,5.9,8,1.6,43,8.7,10,2
4440205,2017,96,21,30,6.6,69,15.1,153,33.5
2010095,2017,186,23.8,135,17.2,120,15.3,542,69.2
2010063,2017,389,71,369,67.3,134,24.5,382,69.7
2010140,2017,39,13.1,38,12.8,35,11.8,117,39.4
2010105,2017,228,59.8,196,51.4,75,19.7,307,80.6
2010123,2017,123,17.1,107,14.8,195,27,318,44.1
2010010,2017,55,16.6,40,12.1,45,13.6,170,51.4
2010015,2017,79,27.3,69,23.9,31,10.7,179,61.9
2010075,2017,171,59.4,162,56.3,52,18.1,216,75
2010020,2017,69,25.1,54,19.6,54,19.6,154,56
2010078,2017,342,55,292,46.9,162,26,487,78.3
2010040,2017,162,44.5,149,40.9,53,14.6,265,72.8
2010130,2017,44,18.9,34,14.6,24,10.3,101,43.3
2010115,2017,115,38.7,102,34.3,45,15.2,212,71.4
2010050,2017,131,38.8,109,32.2,54,16,259,76.6
2010070,2017,191,51.2,172,46.1,59,15.8,277,74.3
2010405,2017,291,32.9,177,20,182,20.6,530,59.9
2010505,2017,816,40.5,515,25.6,370,18.4,"1,187",58.9
2010410,2017,351,31.2,225,20,199,17.7,631,56.1
2010124,2017,153,61.9,139,56.3,25,10.1,190,76.9
2010415,2017,315,39.8,172,21.7,209,26.4,523,66
2010045,2017,147,18,114,14,246,30.1,564,69.1
2010125,2017,63,29,53,24.4,30,13.8,138,63.6
2010510,2017,14,22.2,8,12.7,59,93.7,53,84.1
2010515,2017,27,24.5,7,6.4,30,27.3,94,85.5
