school_id,year,african_american,asian,hispanic,white,native,male,female
670030,2001,5.1,7.6,1.6,85.5,0.2,47.0,53.0
6400505,2001,6.3,5.3,2.0,86.1,0.3,49.4,50.6
4390050,2001,45.5,2.0,18.2,33.3,1.0,50.5,49.5
680005,2001,1.3,1.9,0.0,96.8,0.0,55.5,44.5
710505,2001,0.4,1.5,1.0,97.2,0.0,44.5,55.5
710305,2001,0.2,1.4,0.9,97.5,0.0,48.4,51.6
710015,2001,0.0,1.0,1.2,97.8,0.0,48.8,51.2
710010,2001,0.9,0.2,2.1,96.3,0.5,47.6,52.4
710032,2001,0.5,1.6,0.8,97.1,0.0,51.7,48.3
710030,2001,0.3,2.2,0.6,96.5,0.3,49.7,50.3
710045,2001,0.0,0.6,0.8,98.4,0.2,47.0,53.0
720040,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720505,2001,1.2,1.7,0.8,95.7,0.6,50.2,49.8
720050,2001,1.8,2.0,0.5,95.6,0.1,51.4,48.6
720030,2001,1.9,1.9,1.0,95.0,0.2,52.4,47.6
720015,2001,2.6,2.6,1.8,92.5,0.5,54.4,45.6
730010,2001,8.2,2.5,7.9,79.9,1.4,49.5,50.5
730505,2001,3.3,2.3,4.4,89.3,0.7,49.0,51.0
730305,2001,4.9,2.8,4.7,87.2,0.4,52.0,48.0
730005,2001,1.2,1.8,3.8,93.0,0.3,54.4,45.6
730025,2001,1.0,3.8,1.4,93.1,0.7,54.0,46.0
730030,2001,0.3,1.9,1.6,95.9,0.3,45.8,54.2
730045,2001,1.9,5.6,1.5,90.3,0.7,51.5,48.5
740015,2001,0.7,2.0,4.1,93.2,0.0,49.8,50.2
6450505,2001,2.7,0.9,2.5,93.7,0.2,47.9,52.1
6450005,2001,4.0,0.4,5.1,89.5,1.0,53.4,46.6
6450015,2001,7.2,2.2,5.0,84.7,1.0,58.7,41.3
6450305,2001,3.6,0.9,3.1,92.1,0.3,51.4,48.6
6450025,2001,4.6,1.1,5.7,87.8,0.9,53.2,46.8
6500005,2001,0.4,0.2,0.0,99.4,0.0,49.4,50.6
6500305,2001,1.3,1.8,1.3,94.9,0.8,52.8,47.2
6500505,2001,1.0,0.6,0.5,97.9,0.0,52.8,47.2
6500310,2001,0.2,0.6,0.0,99.2,0.0,53.5,46.5
6500010,2001,0.5,0.8,0.5,98.1,0.0,53.1,46.9
770505,2001,0.0,0.2,0.5,99.3,0.0,49.8,50.2
780005,2001,1.2,5.1,1.3,91.9,0.5,52.3,47.7
6550505,2001,1.5,3.1,2.5,92.9,0.0,47.7,52.3
6550405,2001,1.5,2.1,0.0,96.5,0.0,53.0,47.0
